datamart_entity,datamart_table,datamart_attribute,datamart_column,nullable,data_domain,data_type,key,description,source_entity,atomic_table,source_attribute,atomic_column
Calendar Date Dimension,cdr_dt_dim,Date Dimension Id,dt_dim_id,false,Surrogate Key,string,PK,Surrogate key ETL generated,Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Full Date,full_dt,true,Date,date,,Ngày dương lịch đầy đủ,Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Year,yr,true,Small Counter,int,,Năm (YYYY),Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Quarter,qtr,true,Small Counter,int,,Quý (1–4),Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Month,mo,true,Small Counter,int,,Tháng (1–12),Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Month Name,mo_nm,true,Text,string,,Tên tháng (tiếng Việt),Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Day Of Week,day_of_wk,true,Small Counter,int,,Thứ trong tuần (1=Thứ 2 ... 7=Chủ nhật),Generated,,ETL derived,
Calendar Date Dimension,cdr_dt_dim,Is Weekend,is_weekend,true,Boolean,boolean,,Cuối tuần (True/False),Generated,,ETL derived,
Public Company Dimension,pblc_co_dim,Public Company Dimension Id,pblc_co_dim_id,false,Surrogate Key,string,PK,Surrogate key ETL generated,Generated,,ETL derived,
Public Company Dimension,pblc_co_dim,Public Company Id,pblc_co_id,true,Surrogate Key,string,,Silver surrogate Id của công ty đại chúng — IDS.company_profiles (PK Silver). ETL join key.,Public Company,pblc_co,Public Company Id,pblc_co_id
Public Company Dimension,pblc_co_dim,Public Company Code,pblc_co_code,true,Text,string,,Mã định danh công ty đại chúng (BK nguồn) — IDS.company_profiles.id,Public Company,pblc_co,Public Company Code,pblc_co_code
