attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Investment Fund Certificate Transfer Id,Khóa đại diện cho giao dịch chứng chỉ quỹ.,Surrogate Key,false,true,draft,,,,
Investment Fund Certificate Transfer Code,Mã giao dịch CCQ do hệ thống FMS sinh ra. Map từ PK bảng nguồn.,Text,false,false,draft,FMS.TRANSFERMBF.Id,BCV Term: Transaction. BK của entity.,,
Source System Code,Mã hệ thống nguồn.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. Giá trị: FMS.TRANSFERMBF.,,
Investment Fund Id,Khóa đại diện quỹ đầu tư phát hành CCQ. FK → FUNDS.,Surrogate Key,false,false,draft,FMS.TRANSFERMBF.FndId,FK target: Investment Fund.Investment Fund Id. Pair with Investment Fund Code.,,
Investment Fund Code,Mã quỹ đầu tư. Lưu dư thừa.,Text,false,false,draft,FMS.TRANSFERMBF.FndId,FK target: Investment Fund.Investment Fund Code. Pair with Investment Fund Id.,,
Investment Fund Investor Membership Id,Khóa đại diện quan hệ thành viên của NĐT thực hiện giao dịch. FK → MBFUND.,Surrogate Key,false,false,draft,FMS.TRANSFERMBF.MBFId,FK target: Investment Fund Investor Membership.Investment Fund Investor Membership Id. Pair with Investment Fund Investor Membership Code.,,
Investment Fund Investor Membership Code,Mã quan hệ thành viên. Lưu dư thừa.,Text,false,false,draft,FMS.TRANSFERMBF.MBFId,FK target: Investment Fund Investor Membership.Investment Fund Investor Membership Code. Pair with Investment Fund Investor Membership Id.,,
Transaction Date,Ngày thực hiện giao dịch CCQ.,Date,true,false,draft,FMS.TRANSFERMBF.TransDate,,,
Transfer Quantity,Số lượng CCQ giao dịch.,Currency Amount,true,false,draft,FMS.TRANSFERMBF.Quantity,BCV: không có term riêng cho unit quantity. Dùng Currency Amount — unit là CCQ.,,
Transfer Price,Giá giao dịch CCQ.,Currency Amount,true,false,draft,FMS.TRANSFERMBF.Price,Currency mặc định VND.,,
Transaction Type Code,Loại giao dịch CCQ (mua/bán/chuyển nhượng).,Classification Value,true,false,draft,FMS.TRANSFERMBF.TransType,Scheme: FMS_TRANSFER_TYPE. Values cần profile từ data nguồn.,,
